0,total  ,january,february,march,april,may
Vaccine Preventable Diseases,,,,,,
Acute Flaccid Paralysis,34,7,17,6,4,0
Acute Poliomyelitis,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Measles,20,7,3,10,0,0
Mumps,36,13,12,6,5,0
Pertussis,6,5,1,0,0,0
Rabies,0,0,0,0,0,0
Rubella,3,0,1,1,1,0
Tetanus,1,0,0,1,0,0
Tetanus neonatal,0,0,0,0,0,0
Viral Hepatitis B,38,14,9,7,8,0
Food & Water Borne Diseases,,,,,,
Brucellosis,34,10,7,11,6,0
Cholera,0,0,0,0,0,0
Dysentery,237,78,69,46,44,0
Food Poisoning,108,53,19,13,23,0
Hydatic Cyst,14,10,3,1,0,0
Parasitic Worms,0,0,0,0,0,0
Trichinosis,2,0,2,0,0,0
Typhoid Fever,97,31,29,25,12,0
Viral Hepatitis A,702,285,198,158,61,0
Other Diseases,,,,,,
Bilharziasis,0,0,0,0,0,0
Creutzfeld Jakob Disease,0,0,0,0,0,0
Ebola,0,0,0,0,0,0
Gonorrhea,2,1,1,0,0,0
Leishmaniasis,4,0,0,0,4,0
Leprosy,0,0,0,0,0,0
Meningitis,92,27,24,26,15,0
Plague,0,0,0,0,0,0
Syphilis,9,4,2,3,0,0
Typhus,0,0,0,0,0,0
Viral Hepatitis C,21,3,9,3,6,0
Yellow Fever,0,0,0,0,0,0
