0,total,0-4 years,5-9 years,10-19 years,20-39 years,40-59 years,60+ years,unknown age,male,female,sex unknown
Vaccine Preventable Diseases,,,,,,,,,,,
Acute Flaccid Paralysis,34,11,10,11,0,1,1,0,18,16,0
Acute Poliomyelitis,0,0,0,0,0,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0,0,0,0,0,0
Measles,20,12,3,0,4,1,0,0,11,8,1
Mumps,36,16,7,10,3,0,0,0,23,13,0
Pertussis,6,4,2,0,0,0,0,0,3,3,0
Rabies,0,0,0,0,0,0,0,0,0,0,0
Rubella,3,0,0,0,2,1,0,0,1,2,0
Tetanus,1,0,0,0,0,0,1,0,1,0,0
Tetanus neonatal,0,0,0,0,0,0,0,0,0,0,0
Viral Hepatitis B,38,0,0,0,18,14,6,0,21,17,0
Food & Water Borne Diseases,,,,,,,,,,,
Brucellosis,34,1,3,1,11,10,8,0,18,16,0
Cholera,0,0,0,0,0,0,0,0,0,0,0
Dysentery,237,54,22,18,53,32,58,0,111,126,0
Food Poisoning,108,7,4,21,51,15,6,4,55,53,0
Hydatic Cyst,14,0,0,1,5,4,4,0,6,8,0
Parasitic Worms,0,0,0,0,0,0,0,0,0,0,0
Trichinosis,2,0,0,0,0,1,1,0,1,1,0
Typhoid Fever,97,13,6,13,28,15,22,0,40,57,0
Viral Hepatitis A,702,84,174,181,214,45,4,0,404,298,0
Other Diseases,,,,,,,,,,,
Bilharziasis,0,0,0,0,0,0,0,0,0,0,0
Creutzfeld Jakob Disease,0,0,0,0,0,0,0,0,0,0,0
Ebola,0,0,0,0,0,0,0,0,0,0,0
Gonorrhea,2,0,0,0,1,1,0,0,2,0,0
Leishmaniasis,4,0,0,1,2,1,0,0,3,1,0
Leprosy,0,0,0,0,0,0,0,0,0,0,0
Meningitis,92,19,11,17,19,13,13,0,57,35,0
Plague,0,0,0,0,0,0,0,0,0,0,0
Syphilis,9,0,0,0,7,2,0,0,7,2,0
Typhus,0,0,0,0,0,0,0,0,0,0,0
Viral Hepatitis C,21,0,0,0,9,4,8,0,17,4,0
Yellow Fever,0,0,0,0,0,0,0,0,0,0,0
